date,method,plan_cost_yuan,emergency_cost_yuan,total_cost_yuan,emergency_kwh,soc_start_kwh,soc_end_kwh
2025-09-09,m1,39143.38679178321,5045.849818825,44189.23661060821,1257.8065000000006,1199.999999999999,1200.0000000000025
2025-09-10,m1,36848.92344331375,36525.88786434999,73374.81130766374,8892.547216666666,1200.0000000000025,1199.999999999995
2025-09-11,m1,40079.26572856514,5572.777731108335,45652.04345967347,1354.04145,1199.999999999995,1200.000000000012
2025-09-12,m1,36648.449060020175,0.0,36648.449060020175,0.0,1200.000000000012,1199.9999999999989
2025-09-13,m1,17018.63420505605,6349.60653558333,23368.24074063938,1597.9687166666658,1199.9999999999989,1200.0
2025-09-14,m1,17082.336304055963,134114.550487125,151196.88679118096,33977.987766666665,1200.0,1200.0000000000023
2025-09-15,m1,39485.717719381035,7962.246272166669,47447.9639915477,2013.477450000001,1200.0000000000023,1199.999999999995
2025-09-16,m1,37555.31270849445,18334.51425035,55889.82695884445,5703.3568,1199.999999999995,1200.000000000003
2025-09-17,m1,39323.28965270585,17558.221056741666,56881.51070944751,3787.9952166666662,1200.000000000003,1200.0000000000002
2025-09-18,m1,39471.86086204776,9093.610643658329,48565.47150570609,2230.582466666666,1200.0000000000002,1200.0000000000068
2025-09-19,m1,39213.40198708025,11.897970000000116,39225.29995708025,5.565000000000055,1200.0000000000068,1200.0000000000089
